b_tgt,cat_input1,cat_input2,demog_age,demog_ho,demog_homeval,demog_inc,demog_pr,rfm1,rfm2,rfm3,rfm4,rfm5,rfm6,rfm7,rfm8,rfm9,rfm10,rfm11,rfm12,demog_genf,demog_genm,account
0,X,E,NA,0,16392,32969,31,$26.00 ,$13.75 ,,$26.00 ,1,12,0,8,20,13,6,126,1,0,101059465
0,X,C,NA,0,75093,$0.00 ,28,$19.00 ,$16.62 ,$18.20 ,$15.00 ,9,13,5,7,19,15,6,44,1,0,100842510
1,X,A,40,1,481486,122688,35,$20.00 ,$14.80 ,$20.00 ,$20.00 ,2,9,2,5,20,8,4,67,1,0,100486168
0,X,B,61,1,205797,80468,35,$12.00 ,$9.25 ,$12.00 ,$15.00 ,2,4,2,4,24,10,5,45,0,1,100811412
1,X,C,48,1,111500,42100,47,$25.00 ,$21.67 ,,$25.00 ,0,2,0,0,17,12,5,39,0,1,100628199
0,X,E,63,1,32394,26734,22,$18.33 ,$15.63 ,$17.50 ,$20.00 ,3,8,2,4,18,13,6,64,1,0,100245663
0,X,E,49,0,57914,45819,25,$22.50 ,$16.88 ,$22.50 ,$25.00 ,2,8,2,5,17,16,6,105,1,0,100284267
0,X,D,NA,0,51111,$0.00 ,30,$9.33 ,$5.58 ,$10.00 ,$10.00 ,3,12,2,5,17,8,4,122,1,0,100171586
0,Z,E,36,1,156493,47789,25,$15.00 ,$15.00 ,$15.00 ,$15.00 ,1,1,1,1,19,10,4,19,0,1,100262530
0,Y,E,40,1,39292,32700,40,$10.00 ,$9.00 ,$7.50 ,$10.00 ,3,4,2,2,20,12,6,32,1,0,100854459
0,X,E,NA,0,35495,$0.00 ,36,$11.00 ,$9.80 ,$10.00 ,$15.00 ,4,5,1,2,19,6,4,41,0,1,100190399
0,X,E,55,0,45910,$0.00 ,25,$5.00 ,$5.00 ,$5.00 ,$5.00 ,10,14,8,9,22,13,7,45,0,1,100764159
0,X,E,56,0,43696,$0.00 ,28,$15.00 ,$11.67 ,$15.00 ,$15.00 ,3,6,3,5,19,12,6,77,0,1,100090884
1,X,A,34,1,213081,49838,36,$5.00 ,$4.80 ,$5.00 ,$5.00 ,4,20,2,9,15,12,5,76,1,0,100780637
0,Y,E,51,1,23607,43366,25,$5.00 ,$5.80 ,$5.00 ,$5.00 ,5,10,3,4,16,13,6,75,1,0,101038592
0,Z,E,72,1,48472,39632,32,$23.00 ,$16.50 ,$23.00 ,$10.00 ,1,2,1,1,15,14,5,17,0,1,100711063
0,X,D,80,0,100220,42373,23,$6.80 ,$6.46 ,$7.33 ,$8.00 ,5,13,3,10,19,10,5,92,0,1,100711824
0,X,E,27,0,63291,51941,30,$10.00 ,$10.00 ,$10.00 ,$15.00 ,2,2,2,2,22,10,4,32,1,0,100267688
0,X,A,35,1,98493,67093,39,$25.00 ,$20.00 ,$25.00 ,$25.00 ,2,3,1,2,22,13,6,44,1,0,100196765
0,X,E,NA,0,49835,45567,40,$15.00 ,$12.00 ,$10.00 ,$20.00 ,2,3,1,1,26,10,5,32,0,1,100941526
1,X,A,69,1,127142,78719,36,$6.60 ,$5.86 ,$6.50 ,$8.00 ,5,7,4,5,17,13,6,41,0,1,100020787
0,X,B,54,1,120686,72040,34,$16.00 ,$16.00 ,$10.00 ,$22.00 ,2,2,1,1,26,9,4,35,0,1,100637904
0,X,A,50,1,103905,77059,30,$18.33 ,$18.33 ,$18.33 ,$20.00 ,4,4,4,4,19,13,7,33,1,0,100400795
0,X,D,54,1,90816,46735,45,$16.00 ,$11.67 ,,$17.00 ,2,3,0,1,18,12,6,41,0,1,100030253
0,Z,B,39,0,174899,60535,31,$15.00 ,$15.00 ,$15.00 ,$10.00 ,2,2,2,2,13,19,6,21,1,0,100516603
0,X,E,75,0,47900,40235,21,$11.75 ,$11.17 ,$11.67 ,$12.00 ,4,6,3,4,18,13,6,43,0,1,100067720
0,X,E,39,1,28395,37899,29,$10.00 ,$9.00 ,,$15.00 ,1,5,0,2,21,12,6,55,1,0,100083501
1,X,E,66,1,42675,37208,32,$13.33 ,$11.40 ,$14.00 ,$14.00 ,2,9,0,4,16,12,5,75,1,0,100276701
0,X,E,45,1,37695,44595,26,$15.00 ,$21.31 ,$10.00 ,$20.00 ,5,16,1,4,8,41,11,57,1,0,101051905
0,X,A,82,1,82312,37315,29,$28.33 ,$20.97 ,$35.00 ,$35.00 ,3,39,1,20,25,8,4,111,0,1,100136134
1,X,A,NA,0,56891,$0.00 ,33,$4.67 ,$4.43 ,$4.80 ,$5.00 ,7,8,6,6,21,13,7,34,0,1,100327651
1,X,B,77,1,260327,106011,23,$16.20 ,$13.08 ,$17.50 ,$15.00 ,5,12,2,6,15,14,6,77,0,1,100716679
1,X,E,50,0,82392,44532,46,$13.00 ,$9.08 ,,$15.00 ,2,13,0,3,18,13,6,123,1,0,100182414
0,X,C,64,0,97785,75024,50,$25.00 ,$17.00 ,$25.00 ,$25.00 ,3,6,2,5,21,14,7,92,1,0,100346346
1,X,C,76,1,122999,44380,21,$16.00 ,$14.71 ,,$16.00 ,1,14,0,8,25,11,6,105,0,1,100800096
0,Z,A,NA,0,69837,$0.00 ,30,$20.00 ,$20.00 ,$20.00 ,$20.00 ,1,1,1,1,16,12,5,16,0,1,100498689
0,X,A,NA,0,159613,$0.00 ,33,$13.67 ,$13.67 ,$5.00 ,$25.00 ,4,4,2,2,16,13,6,30,1,0,100586511
0,X,A,79,1,161880,69559,43,$11.00 ,$11.95 ,$12.00 ,$10.00 ,2,20,1,4,19,31,6,106,0,1,100038048
0,X,B,59,1,298411,67203,43,$26.00 ,$19.00 ,$26.00 ,$35.00 ,2,3,2,3,16,13,6,45,1,0,100349811
0,X,E,41,0,142073,39412,21,$8.33 ,$7.86 ,$10.33 ,$8.00 ,6,7,3,4,18,13,6,38,1,0,100535041
0,X,C,NA,0,43274,47478,37,$11.25 ,$12.77 ,$11.20 ,$12.00 ,8,39,5,17,21,13,6,99,1,0,100933921
0,Z,A,80,1,110206,48527,47,$20.00 ,$20.00 ,$20.00 ,$20.00 ,1,1,1,1,20,10,4,20,0,1,100889877
0,X,E,78,0,50192,53750,22,$16.67 ,$15.64 ,$17.00 ,$18.00 ,3,14,2,6,25,29,6,56,1,0,100955601
